Code,Server,Service Tier,CMS,Branch,Primary Domain,Admin Link,Web Dir
SH-Rush,moria2,Tiny,3,crystalsong,sacredheartrcmn.org,https://sh-rush.solutiosoftware.com/administrator,saintpaul/sh-rush
SH-Salina,wold,,3,dalaran,shcathedral.com,https://sh-salina.solutiosoftware.com/administrator,salina/sh-salina
SH-Shelby,thalos,,3,dalaran,shelbysacredheart.com,https://sh-shelby.solutiosoftware.com/administrator,lincoln/sh-shelby
SH-Ton,valinor,,3,dalaran,shcct.com,https://sh-ton.solutiosoftware.com/administrator,kck/sh-ton
SH-Was,thalos,,3,dalaran,sacredheartwaseca.org,https://sh-was.solutiosoftware.com/administrator,winona/sh-was
Sheboygan-North,underhill,,3,dalaran,sheboygannorthcatholicparishes.org,https://sheboygan-north.solutiosoftware.com/administrator,milwaukee/sheboygan-north
Sheboygan-South,yale,,3,dalaran,www.sscparishes.org,https://sheboygan-south.solutiosoftware.com/administrator,milwaukee/sheboygan-south
Sheerin,underhill,Tiny,3,dalaran,www.sheerinscientific.com,https://sheerin.solutiosoftware.com/administrator,nra/sheerin
Shelbyville,zelda,,3,dalaran,shelbycatholic.org,https://shelbyville.solutiosoftware.com/administrator,indianapolis/shelbyville
Shuttle,thalos,Tiny,3,dalaran,www.shuttleaerospace.com,https://shuttle.solutiosoftware.com/administrator,nra/shuttle
SJ-Nurse,moria2,Small,3,crystalsong,sanjuannursinghome.org,https://sj-nurse.solutiosoftware.com/administrator,nra/sj-nurse
SJB-Louisville,underhill,,3,dalaran,www.sbsjlou.org,https://sjb-louisville.solutiosoftware.com/administrator,louisville/sjb-louisville
SJN-Lil,thalos,,3,dalaran,sjnlilburn.com,https://sjn-lil.solutiosoftware.com/administrator,atlanta/sjn-lil
SJP-Burl,underhill,,3,dalaran,dmcountycatholic.org,https://sjp-burl.solutiosoftware.com/administrator,davenport/sjp-burl
SJR-Spring,zelda,,3,dalaran,josephraphael.org,https://sjr-spring.solutiosoftware.com/administrator,cincinnati/sjr-spring
SJS-Houston,underhill,,3,dalaran,www.saintjoseph.org,https://sjs-houston.solutiosoftware.com/administrator,gh/sjs-houston
SJV-StPaul,yale,,3,dalaran,www.sjvssp.org,https://sjv-stpaul.solutiosoftware.com/administrator,saintpaul/sjv-stpaul
SJV-WC,underhill,,3,dalaran,sjvianney.org,https://sjv-wc.solutiosoftware.com/administrator,oakland/sjv-wc
SLC,valinor,Small,3,dalaran,www.slcwichita.org,https://slc.solutiosoftware.com/administrator,wichita/slc
SMC-Oak,moria2,Medium,3,crystalsong,stmarysoakdale.org,https://smc-oak.solutiosoftware.com/administrator,stockton/smc-oak
SMH-Aug,underhill,Medium,3,dalaran,stmaryssaints.org,https://smh-aug.solutiosoftware.com/administrator,savannah/smh-aug
SMM-Omaha,wold,Medium,3,dalaran,www.smmomaha.org,https://smm-omaha.solutiosoftware.com/administrator,omaha/smm-omaha
SMM-Wichita,underhill,,3,dalaran,smmwichita.com,https://smm-wichita.solutiosoftware.com/administrator,wichita/smm-wichita
SMMS,yale,Medium,3,dalaran,sisterservantsofmary.org,https://smms.solutiosoftware.com/administrator,nra/smms
SMQ-Rus,moria2,Tiny,3,crystalsong,stmaryrussell.com,https://smq-rus.solutiosoftware.com/administrator,salina/smq-rus
SMQ-Salina,underhill,,3,dalaran,stmsalina.org,https://smq-salina.solutiosoftware.com/administrator,salina/smq-salina
SNM-Hays,zelda,,3,dalaran,stn-church.com,https://snm-hays.solutiosoftware.com/administrator,salina/snm-hays
Sodality-SH,underhill,Tiny,3,dalaran,www.mostsacredheart.net,https://sodality-sh.solutiosoftware.com/administrator,stlouis/sodality-sh
SOLS,valinor,Small,3,dalaran,www.ols.org,https://sols.solutiosoftware.com/administrator,nra/sols
Solutio-Demo,underhill,,3,dalaran,demo.solutiosoftware.com,https://demo.solutiosoftware.com/administrator,solutio/solutio-demo
Solutio-Email,zelda,,3,dalaran,parishemail.org,https://solutio-email.solutiosoftware.com/administrator,solutio/solutio-email
Solutio-Main,moria2,,3,crystalsong,solutiosoftware.com,https://solutiosoftware.com/administrator,solutio/solutio-main
Solutio-SOP,valinor,,3,dalaran,sop.solutiosoftware.com,https://solutio-sop.solutiosoftware.com/administrator,solutio/solutio-sop
